%Acm. Venda;Categoria : Marca;Venda Quantidade;Venda Itens;Unitário Médio;Venda Valor;Venda % Partic.;Promoções Valor Venda;Promoc. % Partic.;% Partic. Prom./Vda.;Lucratividade Unit.;Lucratividade Valor;Lucrat. % Partic.;Lucrat. Marg %;% Mark Up;% Mark Down;Custo Bruto;Custo Líquido;Despesa Venda;Compror;Comissão;Impostos Venda;Valor IBS  Municipal;Valor IBS  Estadual;Valor CBS;Valor IS;Contribuição Valor;Contrib. % Partic.;Contrib. Marg %*;Peso Bruto;Peso Brt %Partic.;Peso Líquido;Volume M ³;Valor Venda Por M³;Custo Fiscal Total;Despesa Fixa;Desconto Fixo;Vlr Descto Fora de NF
71,650;03 - LIMPEZA : BRILHA CASA;317,678;28,000;21,150;6.718,890;3,310;717,520;10,680;10,680;4,530;1.439,590;3,320;21,430;27,270;31,480;5.279,300;5.068,230;211,230;0,000;0,000;377,690;5,290;144,260;41,800;4,190;1.228,360;3,200;18,280;239,364;3,010;216,516;0,358;18.767,850;5.656,990;0,000;0,000;0,000
74,710;02 - BEBIDAS : BEBE BEM;336,953;53,000;18,480;6.226,890;3,060;719,390;11,550;11,550;2,510;846,330;1,950;13,590;15,730;43,620;5.380,560;5.462,540;233,170;0,000;0,000;223,610;0,170;83,030;14,360;4,320;613,160;1,600;9,850;390,246;4,900;374,984;0,620;10.043,370;5.604,170;0,000;0,000;0,000
77,740;04 - HIGIENE : SUAVE PELE;284,004;35,000;21,670;6.154,370;3,030;1.755,120;28,520;28,520;5,910;1.679,320;3,870;27,290;37,530;30,160;4.475,050;4.529,660;214,130;0,000;0,000;199,420;8,930;31,050;0,320;3,610;1.465,190;3,810;23,810;44,015;0,550;39,240;0,128;48.081,020;4.674,470;0,000;0,000;0,000
80,030;05 - PADARIA : FORNO ARTESANAL;925,020;91,000;5,030;4.652,850;2,290;1.318,760;28,340;28,340;1,050;972,580;2,240;20,900;26,430;29,060;3.680,270;3.706,280;104,430;0,000;0,000;135,580;0,380;46,900;16,530;2,710;868,150;2,260;18,660;1.106,446;13,900;1.020,371;2,808;1.657,000;3.815,850;0,000;0,000;0,000
82,240;03 - LIMPEZA : ALVI CLEAN;344,649;40,000;13,050;4.497,670;2,210;35,770;0,800;0,800;2,190;755,730;1,740;16,800;20,200;34,050;3.741,940;3.701,780;51,090;0,000;0,000;162,920;5,100;32,790;20,930;2,150;704,640;1,830;15,670;81,811;1,030;70,290;0,187;24.051,710;3.904,860;0,000;0,000;0,000
84,360;02 - BEBIDAS : MANANCIAL;183,554;16,000;23,500;4.313,520;2,120;1.122,040;26,010;26,010;5,710;1.048,220;2,410;24,300;32,100;19,200;3.265,300;3.328,010;110,210;0,000;0,000;308,050;11,410;85,890;32,460;2,210;938,010;2,440;21,750;71,151;0,890;67,965;0,186;23.190,970;3.573,350;0,000;0,000;0,000
86,390;05 - PADARIA : TRIGO DOURADO;420,744;42,000;9,800;4.123,290;2,030;517,360;12,550;12,550;-0,230;-98,490;-0,230;-2,390;-2,330;31,080;4.221,780;4.204,270;79,520;0,000;0,000;276,120;9,450;17,960;37,730;4,540;-178,010;-0,460;-4,320;480,603;6,040;453,854;1,070;3.853,540;4.497,900;0,000;0,000;0,000
88,260;01 - ALIMENTO : TEMPERO BOM;268,008;21,000;14,170;3.797,670;1,870;368,230;9,700;9,700;4,180;1.121,040;2,580;29,520;41,880;27,810;2.676,630;2.564,840;131,170;0,000;0,000;266,790;0,090;54,500;16,700;1,190;989,870;2,580;26,070;50,344;0,630;45,002;0,145;26.190,830;2.943,420;0,000;0,000;0,000
90,090;03 - LIMPEZA : LIMPOTUDO;189,776;34,000;19,590;3.717,710;1,830;28,270;0,760;0,760;4,940;936,800;2,160;25,200;33,690;31,220;2.780,910;2.732,270;108,270;0,000;0,000;226,130;11,030;46,700;10,950;3,600;828,530;2,160;22,290;68,596;0,860;62,221;0,079;47.059,620;3.007,040;0,000;0,000;0,000
91,900;02 - BEBIDAS : REFRESCA TUDO;272,068;30,000;13,520;3.678,360;1,810;33,660;0,920;0,920;3,790;1.031,080;2,380;28,030;38,950;41,700;2.647,280;2.656,980;74,080;0,000;0,000;133,490;0,630;30,880;0,720;1,240;957,000;2,490;26,020;183,385;2,300;162,708;0,400;9.195,900;2.780,770;0,000;0,000;0,000
93,520;01 - ALIMENTO : DOCE VIDA;251,075;74,000;13,140;3.299,130;1,620;193,970;5,880;5,880;3,900;980,360;2,260;29,720;42,280;30,600;2.318,770;2.237,470;87,100;0,000;0,000;75,680;3,670;23,460;10,670;1,350;893,260;2,320;27,080;185,189;2,330;179,604;0,218;15.133,620;2.394,450;0,000;0,000;0,000
95,110;01 - ALIMENTO : MOINHO REAL;200,262;29,000;16,150;3.234,230;1,590;414,830;12,830;12,830;2,340;467,730;1,080;14,460;16,910;34,130;2.766,500;2.761,990;118,430;0,000;0,000;139,250;0,830;39,730;15,890;1,560;349,300;0,910;10,800;187,568;2,360;171,473;0,384;8.422,470;2.905,750;0,000;0,000;0,000
96,590;04 - HIGIENE : CUIDAR BEM;863,695;76,000;3,480;3.005,660;1,480;700,750;23,310;23,310;0,510;440,730;1,020;14,660;17,180;17,550;2.564,930;2.427,730;119,020;0,000;0,000;108,800;2,020;35,370;15,460;2,150;321,710;0,840;10,700;791,477;9,940;711,470;0,924;3.252,880;2.673,730;0,000;0,000;0,000
98,050;02 - BEBIDAS : FRUTAL SUCOS;131,372;10,000;22,580;2.966,380;1,460;199,580;6,730;6,730;6,260;822,980;1,900;27,740;38,400;41,960;2.143,400;2.042,510;83,630;0,000;0,000;31,570;0,160;8,380;0,020;0,100;739,350;1,920;24,920;89,470;1,120;84,097;0,206;14.399,900;2.174,970;0,000;0,000;0,000
98,930;01 - ALIMENTO : FAZENDA BOA;373,616;57,000;4,780;1.785,880;0,880;52,330;2,930;2,930;0,990;368,410;0,850;20,630;25,990;30,430;1.417,470;1.355,060;49,600;0,000;0,000;23,670;0,720;1,610;0,230;0,450;318,810;0,830;17,850;433,573;5,450;414,102;0,698;2.558,570;1.441,140;0,000;0,000;0,000
99,580;01 - ALIMENTO : COLHEITA FELIZ;324,624;96,000;4,040;1.311,480;0,650;342,870;26,140;26,140;1,030;333,440;0,770;25,420;34,090;22,480;978,040;990,370;29,260;0,000;0,000;82,480;0,940;2,540;3,580;0,270;304,180;0,790;23,190;363,304;4,560;346,976;0,824;1.591,600;1.060,520;0,000;0,000;0,000
100,000;02 - BEBIDAS : GELO E CIA;119,279;17,000;7,080;844,500;0,420;127,340;15,080;15,080;1,930;229,850;0,530;27,220;37,400;32,050;614,650;610,110;10,820;0,000;0,000;30,180;0,400;2,950;4,400;0,240;219,030;0,570;25,940;128,327;1,610;119,607;0,332;2.543,670;644,830;0,000;0,000;0,000
;TOTAL: 27 linhas;15.141,659;2.163,000;13,420;203.206,400;;25.347,490;;;;43.407,040;;21,360;27,160;32,140;159.799,360;157.057,800;4.968,240;0,000;0,000;9.700,300;275,860;1.824,070;643,560;82,930;38.438,800;;18,920;7.958,600;;7.312,524;15,399;13.196,080;169.499,660;0,000;0,000;0,000
